Date,Open,High,Low,Close,Adj Close,Volume
03-12-2013,598,601.9000244,587,592.9000244,561.6679077,2312310
04-12-2013,596,596.25,585.5,590.8499756,559.7258301,1827528
05-12-2013,597,599,574.5,576.5999756,546.2265015,1924907
06-12-2013,576.9000244,584,576.25,581.2999878,550.678894,1777758
09-12-2013,597,597,579.5,586.4500122,555.5576172,1855333
10-12-2013,584,590,581.2999878,585.9000244,555.0366821,2238009
11-12-2013,586,590,580.2000122,583.3499756,552.6209106,1255720
12-12-2013,578,581.9500122,571.5999756,574.3499756,544.0950317,1992788
13-12-2013,568.5499878,579.0499878,568.5499878,571.1500244,541.0635376,1832997
16-12-2013,570.1500244,572.25,553.5499878,556.1500244,526.8538208,1869314
17-12-2013,558.5999756,571.8499756,558.4000244,568.1500244,538.2216187,2319899
18-12-2013,568.9000244,578.5999756,568.0999756,573.1500244,542.958313,1508344
19-12-2013,570.5499878,587.3499756,568.1500244,582.9000244,552.1945801,1902173
20-12-2013,585.7999878,585.7999878,570,578.9000244,548.4054565,1648085
23-12-2013,575.9000244,584.7999878,574.6500244,576.25,545.8950806,917638
24-12-2013,579.4000244,581.7000122,565.25,567.2999878,537.4165039,1898741
26-12-2013,569,576.3499756,566.5999756,569.9000244,539.8795166,2233222
27-12-2013,573.7999878,578.75,569,575.9500122,545.6107178,1141946
30-12-2013,576,578.2999878,566.5999756,569.5,539.5005493,1104114
31-12-2013,570,572.8499756,565.5999756,567.4500122,537.5585938,930750
01-01-2014,568.25,574,568.0999756,572.3499756,542.2003784,425464
02-01-2014,572.0999756,585,570,573.8499756,543.6213379,1311399
03-01-2014,575,581.4000244,570,579.7000122,549.163269,1443488
06-01-2014,583,590.8499756,579.4500122,588.25,557.2628784,1832494
07-01-2014,593,599,589.2000122,594.2000122,562.8995361,2986634
08-01-2014,600,610,598.3499756,600.9000244,569.24646,2427891
09-01-2014,600.9000244,609.4000244,599.2000122,607,575.0252075,1867544
10-01-2014,607,617.7000122,605.0999756,609.4000244,577.2987671,2548423
13-01-2014,610,615.25,596.3499756,602.3499756,570.6200562,1570396
14-01-2014,600,606.75,597.7999878,603.5499878,571.756958,2626299
15-01-2014,604,610.9500122,601.1500244,603.5,571.7096558,1582614
16-01-2014,604,606.25,590.3499756,592.75,561.5258179,905324
17-01-2014,591.75,600.5,590,594,562.710022,1276748
20-01-2014,595,600,586,589.4000244,558.3522339,1022330
21-01-2014,594,594,577.5999756,580.3499756,549.7788696,1435394
22-01-2014,580.3499756,599.9000244,576.6500244,597.4500122,565.9783325,3419248
23-01-2014,598.5499878,612.5,598.5499878,609.3499756,577.2514648,2954935
24-01-2014,607.9500122,614.7000122,599,603.5999756,571.8042603,1467628
27-01-2014,597.9500122,613.7999878,594.1500244,597.7999878,566.3098145,2991060
28-01-2014,597.5,604.25,580.0499878,581.9000244,551.2473755,1935622
29-01-2014,588,604.9000244,585.9000244,591.4500122,560.2943115,2412064
30-01-2014,592.9500122,599,580.25,593.5999756,562.3309326,1443395
31-01-2014,595.9000244,598.5499878,584,588.7000122,557.689209,1585472
03-02-2014,588.2000122,600.9000244,588.2000122,594.2999878,562.9941406,1640565
04-02-2014,594.3499756,594.3499756,584.2000122,587.75,556.7891846,1873420
05-02-2014,587.8499756,596.5,583,583.5999756,552.8577271,2300454
06-02-2014,587.8499756,592.9000244,581.5,584.9000244,554.0892944,1773116
07-02-2014,590.9500122,603.7999878,586.0999756,601.6500244,569.9570313,3201995
10-02-2014,605.5,614.7000122,604,611.6500244,579.4302368,1472255
11-02-2014,616.9500122,624.4000244,607,608.2999878,576.2565918,2483629
12-02-2014,614,619.6500244,610,611.0499878,578.8616943,1815098
13-02-2014,615,623.2000122,610.2999878,615.2999878,582.8880005,3135266
14-02-2014,622.5,626.5,605.2000122,609.0499878,576.9672241,3027378
17-02-2014,610,614.2000122,601.0999756,605.0999756,573.2252197,998680
18-02-2014,605,611.9000244,604,609.75,577.6303101,873040
19-02-2014,613,625.7000122,611.2000122,623.2999878,590.4664917,2157227
20-02-2014,620.3499756,628.7999878,617.7999878,619.6500244,587.0088501,1270381
21-02-2014,622,624.2000122,611.5499878,615.1500244,582.7459106,1461648
24-02-2014,612,623.9500122,612,620.5999756,587.9086914,1215618
25-02-2014,622.5,624.9000244,616.2000122,619.0499878,586.4404297,1202575
26-02-2014,622,634,620.7000122,628.0999756,595.0136108,1924757
28-02-2014,628.8499756,647.9000244,628.8499756,644.7000122,610.7393188,2932048
03-03-2014,649,653.3499756,622.5499878,625.0999756,592.1716309,1842188
04-03-2014,625.1500244,628.7999878,616.3499756,619.4000244,586.7720337,1535706
05-03-2014,625,627.7000122,620.0499878,623.7000122,590.8453979,1050698
06-03-2014,624.25,630,618.75,621,588.2878418,1490879
07-03-2014,626,626,608.3499756,612.2999878,580.0459595,2382533
